comment,label,Unnamed: 2
http://t.cn/A62SDKlC看看评论里,2,
只有脑残才会反讽，把脏水往受害者身上泼,0,
棒你妈呢？刑都判了是你不了解经过自己yy还是我不了解经过yy？,0,
欢迎观看——在线——268195+2654112,2,
预支你妈，饺子不速冻跟个啥笔一样天天包？,0,
你妈天天被你操哟，请问你妈下面逼癌了吗，你用假阳具上你妈，你的狗爹知道吗,0,
不知道为什么你会扯到同性荡妇羞辱更厉害，很莫名其妙,3,
【网易读书】曹长青：韩寒，中国文坛的最大骗局,2,
电影王朝www.dywc.net欢迎观看最新电影，电视剧，综艺节目，更新很及时！,2,
在线——2563566448+哥哥,2,
说我脑补…他就算挺文明的了，刚才那条被按头母狗了,0,
男人一肥就短，只怕也是个秒射阳痿男，心理残疾，身体残缺。,3,
屌佢老味琴日见到哟西话自己腹股沟不适真係想问声佢係咪烂春袋，去到嘎仔底盘精神到嗨咁，搵嗨屎信你，正柒头,0,
方方直接参与代笔《儿子韩寒》？,0,
可以证明你是个没脑子的田园女权婊了,1,
再见，打这么多字真是辛苦你了呢～可惜你只是一个自以为是满脑废料的卑微蝈蝻,1,
淘宝搜索【52145522222】，一律八折，老少不起,2,
你妈死了，来这里送妈。你妈丧事办了吗,0,
我给狗扔块骨头它都知道冲我摇摇尾巴，你算什么啊,0,
"&lt;ahref=\""",2,
骡子是不能生，单女只是不想生而已,1,
有遇到过，然后我建议他去泰国变性也能有那么多好处了。就是要骑驴呗，男的都鸡贼啊,1,
看到烂货！就不放口！,0,
审你妈滚，你要争取什么权利你去好好争取,0,
底下一群loser还在替这个老母狗洗白，我骂变态老母狗，这群loser气急败坏上来就疯狂辱骂我，看到她们气急败坏我就放心了,0,
不婚骡子害挺可爱的哈哈哈哈哈哈哈 所以你看!,1,
多少老总包二奶，多少二奶养靓仔。,3,
借精生孩子。。。借一个精子还一个孩子那种？精子质量怎么样，有25以下180+么？,3,
梅西是你爹是不，满地都可以看到你跪下的影子,0,
防着蛆就已经很难了，女性不应该站在女性这一边吗！,1,
说这句话的时候不想想她妈也是母猪,0,
老娘想一拳锤爆那群金针菇的脑袋,1,
太没人性了畜生,0,
我去nm的，纯纯放屁,0,
基本的人都不做了，还想代表女权发声?拜托请不要给女权糊屎,0,
是的，一样是国楠呀，享尽男人红利，不用生育白得一个后人，这要是但凡我妈长点脑子，他都不会有机会传基因,1,
跪下给我舔,3,
你这小骚货现在在这装上清纯了,3,
硬说玩梗，还觉得不理解梗的女的是母狗罢了，我也是真的不理解。,0,
好急啊，像你这种的小件货扔路上踩一脚我都晦气，滚回下水道好吗呦西的小老鼠,0,
【石家庄博大皮肤病医院】,2,
你的屌价好高哦，要到李嘉诚这个级别的才能纡尊降贵勉强赐姓呢。哄抬屌价大法第一章：空手套白狼之改姓大法。,3,
”更多邪恶内涵欢迎收听【@22】,2,
www.zrlhb.com自然绿环保，专业环保工程，环保批文，环保手续办理等!,2,
唉，但凡蛆们说话能有点水平，我都觉得这番辩论还算是有趣的,0,
愚蠢的韩粉们，傻眼了吧，你们的偶像都要逃了,1,
我他妈真的是你能不能滚蛋1我就问你谁先跟我提婊的。你个死直男。你个直男癌,1,
